"TableName","Name","DataType","LogicalAddress","ExternalVisible"
"Alarm","ASF输送加热故障报警","Bool","%M33.4","true"
"Alarm","AYH氧含仪高报","Bool","%M39.0","true"
"Alarm","AYH氧含仪高高报","Bool","%M39.1","true"
"Alarm","AJF进风流量低低报","Bool","%M29.0","true"
"Alarm","AJF进风流量低报","Bool","%M29.1","true"
"Alarm","AQZ前置液位低报","Bool","%M33.0","true"
"Alarm","AQZ前置液位低低报","Bool","%M32.7","true"
"Alarm","AQZ前置液位计故障","Bool","%M33.1","true"
"Alarm","AJL进料流量低报","Bool","%M30.3","true"
"Alarm","AJL进料流量低低报","Bool","%M30.2","true"
"Alarm","报警3","Word","%MW24","true"
"Alarm","报警4","Word","%MW26","true"
"Alarm","报警5","Word","%MW28","true"
"Alarm","报警6","Word","%MW30","true"
"Alarm","报警7","Word","%MW32","true"
"Alarm","报警8","Word","%MW34","true"
"Alarm","报警9","Word","%MW36","true"
"Alarm","报警10","Word","%MW38","true"
"Alarm","报警11","Word","%MW40","true"
"Alarm","报警12","Word","%MW42","true"
"Alarm","AKS开式自动自检不通过","Bool","%M40.6","true"
"Alarm","ACIP缺水报警","Bool","%M40.7","true"
"Alarm","ARJ溶剂排液泵开报警","Bool","%M41.0","true"
"Alarm","ARJ溶剂排液泵关报警","Bool","%M41.1","true"
